Medicine Name,Active Ingredient,Elderly (65+ yr),Warnings,Drug Interactions
Ibuprofen 10,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 10,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Metformin 10,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 10,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 11,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Ibuprofen 11,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 11,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 11,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 11,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 12,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Ibuprofen 12,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 12,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 12,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 12,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Paracetamol 13,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 13,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 13,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Metformin 13,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 13,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 14,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 14,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 14,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 14,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 14,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 15,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Ibuprofen 15,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Amoxicillin 15,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 15,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 15,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 16,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 16,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 16,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Metformin 16,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Atorvastatin 16,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 17,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Ibuprofen 17,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 17,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 17,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 17,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 18,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 18,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Amoxicillin 18,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 18,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 18,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 19,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 19,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 19,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 19,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 19,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 20,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 20,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 20,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 20,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 20,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Paracetamol 21,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Ibuprofen 21,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 21,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 21,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 21,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 22,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 22,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 22,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 22,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 22,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 23,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Ibuprofen 23,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 23,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 23,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 23,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 24,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Ibuprofen 24,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Amoxicillin 24,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 24,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 24,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 25,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 25,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 25,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 25,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 25,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 26,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 26,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 26,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 26,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 26,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 27,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 27,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 27,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 27,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 27,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 28,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 28,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Amoxicillin 28,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 28,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 28,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Paracetamol 29,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 29,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Amoxicillin 29,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Metformin 29,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 29,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 30,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 30,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 30,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 30,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 30,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 31,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 31,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 31,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 31,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 31,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 32,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 32,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 32,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Metformin 32,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Atorvastatin 32,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 33,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 33,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 33,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 33,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 33,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Paracetamol 34,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 34,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Amoxicillin 34,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 34,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 34,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 35,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 35,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 35,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 35,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 35,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 36,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 36,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 36,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Metformin 36,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 36,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 37,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 37,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 37,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 37,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 37,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 38,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 38,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 38,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 38,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 38,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Paracetamol 39,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 39,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 39,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 39,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 39,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 40,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 40,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 40,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Metformin 40,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 40,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Paracetamol 41,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 41,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 41,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 41,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 41,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Paracetamol 42,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Ibuprofen 42,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 42,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Metformin 42,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 42,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 43,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Ibuprofen 43,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 43,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 43,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 43,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 44,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 44,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 44,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 44,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 44,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 45,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 45,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 45,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 45,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 45,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
